"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"","variation","Kalendarz trójdzielny","id:1010","592.25","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1058.92","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1885.77","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2750.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","3578.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","4451.31","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","5233.08","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","5749.54","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7121.26","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","8490.45","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","727.26","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1317.21","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","2238.7","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","3264.5","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","4295.02","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","5080.01","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","6055.21","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","7865.08","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","9786.39","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","11421","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","727.26","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1317.21","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","2238.7","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","3264.5","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","4295.02","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","5080.01","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","6055.21","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","7865.08","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","9786.39","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","11421","Kalendarz trójdzielny","standard plus","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","696.44","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1122.86","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1969.26","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2715.03","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","3468.17","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","4123.1","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
