"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"","variation","Kalendarz jednodzielny","id:1005","2080","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","150"
"","variation","Kalendarz jednodzielny","id:1005","2640","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","200"
"","variation","Kalendarz jednodzielny","id:1005","3280","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","250"
"","variation","Kalendarz jednodzielny","id:1005","3860","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","300"
"","variation","Kalendarz jednodzielny","id:1005","5100","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","400"
"","variation","Kalendarz jednodzielny","id:1005","6280","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","500"
"","variation","Kalendarz jednodzielny","id:1005","7480","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","600"
"","variation","Kalendarz jednodzielny","id:1005","8700","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","700"
"","variation","Kalendarz jednodzielny","id:1005","9880","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","800"
"","variation","Kalendarz jednodzielny","id:1005","11080","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","900"
"","variation","Kalendarz jednodzielny","id:1005","12240","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Kalendarium","standardowe","Nakład","1000"
"","variation","Kalendarz jednodzielny","id:1005","580","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","25"
"","variation","Kalendarz jednodzielny","id:1005","860","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","50"
"","variation","Kalendarz jednodzielny","id:1005","1440","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","100"
"","variation","Kalendarz jednodzielny","id:1005","2080","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","150"
"","variation","Kalendarz jednodzielny","id:1005","2640","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","200"
"","variation","Kalendarz jednodzielny","id:1005","3280","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","250"
"","variation","Kalendarz jednodzielny","id:1005","3860","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","300"
"","variation","Kalendarz jednodzielny","id:1005","5100","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","400"
"","variation","Kalendarz jednodzielny","id:1005","6280","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","500"
"","variation","Kalendarz jednodzielny","id:1005","7480","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","600"
"","variation","Kalendarz jednodzielny","id:1005","8700","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","700"
"","variation","Kalendarz jednodzielny","id:1005","9880","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","800"
"","variation","Kalendarz jednodzielny","id:1005","11080","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","900"
"","variation","Kalendarz jednodzielny","id:1005","12240","Kalendarz jednodzielny","310x480mm z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Kalendarium","standardowe","Nakład","1000"
